DateOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_district,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
05 Mar 2019,18,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,In street close to gazetteer location,SE20,Crystal Palace & Anerley,534550,169350,Woodside,371,Woodside,628,Beckenham,2,2,2,1,333,1
05 Mar 2019,21,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE20,Penge & Cator,535250,169650,Beckenham,242,Beckenham,350,Woodside,2,2,2,1,333,2
06 Mar 2019,8,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Plaistow,539650,170350,Bromley,242,Bromley,,,1,1,1,1,333,1
06 Mar 2019,10,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,BR7,Chislehurst,546050,168750,Orpington,365,Orpington,,,1,1,1,2,666,1
06 Mar 2019,15,Fire,Secondary Fire,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,BR5,St. Mary Cray,547450,167750,Orpington,695,Orpington,,,1,1,1,1,333,1
06 Mar 2019,15,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,BR5,Petts Wood & Knoll,544550,167050,Orpington,535,Orpington,,,1,1,1,2,666,1
06 Mar 2019,18,Special Service,Special Service,Hazardous Materials incident,Dwelling,House - single occupancy ,Within same building,BR6,Orpington,546250,165250,Orpington,284,Orpington,780,Sidcup,2,3,3,2,666,1
06 Mar 2019,19,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,BR2,Shortlands & Park Langley,539550,169450,Bromley,243,Bromley,252,Bromley,1,2,2,1,333,1
06 Mar 2019,22,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Within same building,BR6,Orpington,547350,165850,Orpington,16,Orpington,,,1,1,1,1,333,1
07 Mar 2019,7,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR3,Shortlands & Park Langley,538650,168550,Beckenham,493,Bromley,496,Bromley,1,2,2,2,666,2
07 Mar 2019,16,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,TN16,Darwin,543350,159350,Biggin Hill,293,Biggin Hill,,,1,1,1,1,333,1
07 Mar 2019,20,False Alarm,False alarm - Good intent,,Outdoor,Domestic garden (vegetation not equipment) ,Open land/water - nearest gazetteer location,BR2,Hayes & Coney Hall,539850,166450,Bromley,457,Bromley,469,Bromley,1,2,2,1,333,1
07 Mar 2019,23,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR1,Plaistow,540350,170150,Bromley,261,Bromley,,,1,1,1,1,333,1
08 Mar 2019,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR2,Shortlands & Park Langley,539350,169250,Beckenham,333,Bromley,,,1,1,1,1,333,1
08 Mar 2019,3,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Bickley & Sundridge,540850,170250,Bromley,289,Bromley,299,Bromley,1,2,2,1,333,1
08 Mar 2019,6,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR6,Petts Wood & Knoll,545750,166850,Orpington,369,Orpington,393,Orpington,2,3,3,1,333,1
08 Mar 2019,8,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,BR4,West Wickham,538050,165450,Addington,385,Addington,,,1,1,1,1,333,1
08 Mar 2019,10,Special Service,Special Service,Flooding,Non Residential,Purpose built office ,Correct incident location,BR1,Bromley Town,540050,169450,Bromley,215,Bromley,,,1,1,1,1,333,1
08 Mar 2019,14,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,St. Paul's Cray,546650,168450,Orpington,349,Sidcup,401,Orpington,2,2,2,2,666,1
08 Mar 2019,14,False Alarm,False alarm - Good intent,,Dwelling,False Alarm - Property not found,Within same building,BR5,St. Paul's Cray,546650,168450,Orpington,147,Orpington,,,1,1,1,1,333,1
08 Mar 2019,19,Special Service,Special Service,RTC,Dwelling,House - single occupancy ,Correct incident location,BR6,Orpington,546650,165450,Orpington,222,Orpington,278,Orpington,1,2,2,2,666,1
08 Mar 2019,22,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR1,Bickley & Sundridge,541750,168850,Bromley,270,Bromley,310,Bromley,1,2,2,3,999,1
08 Mar 2019,22,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR1,Bromley Town,540550,168750,Bromley,,,,,1,1,1,1,333,1
09 Mar 2019,15,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,BR1,Plaistow,540350,170750,Bromley,340,Bromley,364,Bromley,1,2,2,1,333,2
09 Mar 2019,16,Fire,Secondary Fire,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,BR5,St. Mary Cray,545850,167350,Orpington,330,Orpington,,,1,1,1,1,333,1
